Column1,Column2,Column3,Column4,,,,
g6-001,異,イ,こと,異,普通と違うこと,イ,異（い）文化を学ぶ学校の友と話した。
g6-002,遺,イ;ユイ,,遺,のこす,イ,遺（い）跡を友と見る遠足は楽しい。
g6-003,域,イキ,,域,地域・範囲,イキ,地域（ちいき）の公園で運動会が始まった。
g6-004,宇,ウ,,宇,天地の広がり,ウ,屋根の上に大きな宇（う）字が書かれている。
g6-005,映,エイ,うつ;は,映,うつす。,エイ,夏祭りの映画（えいが）館で家族と見る予定だ。
g6-006,延,エン,の,延,のばす、のびること,エン,黒雲が立ち込める空の下、運動会が延（えん）期された。
g6-007,沿,エン,そ,沿,地域や物のへりにそっていること,エン,川沿（えん）いの公園で鬼ごっこをした。
g6-008,我,ガ,われ;わ,我,自分自身,ガ,冬の朝、公園のベンチで我（が）慢を練習した。
g6-009,灰,カイ,はい,灰,燃えたあとに残る粉,ハイ,夕焼けの空に灰（はい）色の雲がゆっくり流れた。
g6-010,拡,カク,,拡,ひろげること,カク,植物園の温室が拡（かく）大され、熱帯の花が咲いていた。
g6-011,革,カク,かわ,革,なめした皮,カク,母からの手紙を入れた革（かく）の箱を大事に保管した。  
g6-012,閣,カク,,閣,塔のような建物,カク,運動会の後、校舎の屋上にある小さな閣（かく）を見上げた。  
g6-013,割,カツ,わ,割,分けること,カツ,明日の時間割（じかんわり）を見て運動会の準備をした。  
g6-014,株,,かぶ,株,植物の根もと、または株式,カブ,植物園の温室で大きな株（かぶ）を見つけた。  
g6-015,干,カン,ほ;ひ,干,ほす、かわかすこと,カン,公園のベンチで洗濯物を干（ほ）してから遊んだ。  
g6-016,巻,カン,ま;まき,巻,本などをまとめる冊（さつ）の一つ,カン・ケン,歴史（れきし）の巻（まき）物を公園（こうえん）のベンチで読（よ）んだ。  
g6-017,看,カン,,看,みる、世話をすること,カン,病院（びょういん）で祖母（そぼ）の看（かん）護を手紙（てがみ）に書（か）いた。  
g6-018,簡,カン,,簡,たやすい、かんたんであること,カン,簡（かん）単（たん）な手紙（てがみ）を書く練習（れんしゅう）をした。  
g6-019,危,キ,あぶ;あや,危,あぶないさま、けわしいこと,キ,運動会（うんどうかい）で高（たか）いはしごに登（のぼ）るのは危（き）険だ。  
g6-020,机,キ,つくえ,机,書物（しょもつ）を置（お）く家具（かぐ）,キ,学習（がくしゅう）机（つくえ）の上（うえ）に手紙（てがみ）を置（お）いた。  
g6-021,揮,キ,,揮,ふるう、ふるわせること,キ,運動会で校旗を揮(ふる)う係を任された。  
g6-022,貴,キ,とうと;たっと,貴,とうとい、たっといこと,キ,祖父からの手紙に貴(とうと)い言葉が並んでいた。  
g6-023,疑,ギ,うたが,疑,うたがう、疑わしいこと,ギ,公園の噂に疑(うたが)いを持ち、資料を調べた。  
g6-024,吸,キュウ,す,吸,すう、吸い込むこと,キュウ,秋の公園で落ち葉の匂いを吸(す)うと心地いい。  
g6-025,供,キョウ;ク,そな;とも,供,そなえる、ともにつかること,キョウ・ク,運動会のテントに水を供(そな)えて休憩した。  
g6-026,胸,むね;むな,キョウ,胸,からだの中心部の前側,キョウ,運動会前の朝、胸(むね)がドキドキして眠れなかった。  
g6-027,郷,キョウ;ゴウ,,郷,ふるさと,キョウ,故郷(こきょう)の駅前に手紙(てがみ)を届けた。  
g6-028,勤,キン;ゴン,つと,勤,つとめる、働くこと,キン,毎朝、勤(つと)勉(べん)に漢字練習に取り組んだ。  
g6-029,筋,キン,すじ,筋,体の内側に走る線,キン,筋(すじ)道(みち)を立てて公園(こうえん)で作文を書いた。  
g6-030,系,ケイ,,系,血筋や系統,ケイ,祖母(そぼ)の家系(かけい)を手紙(てがみ)に書いた。  
g6-031,敬,ケイ,うやま,敬,うやまうこと,ケイ,お年寄りに敬(けい)語を使って感謝の礼状を書いた。  
g6-032,警,ケイ,,警,いましめる、注意すること,ケイ,誰も通れないほど道路に警(けい)戒線が張られている。  
g6-033,劇,ゲキ,,劇,おおげさな物語や演技,ゲキ,校舎の横にある小劇(げき)場で演劇(えんげき)公演を友達と観た。  
g6-034,激,ゲキ,はげ,激,はげしいこと,ゲキ,試験前夜に師匠から激(げき)励の電話を受け取った。  
g6-035,穴,ケツ,あな,穴,あな、くぼみ,アナ,近所の穴(あな)場喫茶店で友達と午後を過ごした。  
g6-036,絹,ケン,きぬ,絹,きぬの布,ケン,絹（きぬ）糸の滑（なめ）らかさを市場（しじょう）で味（あじ）わった。  
g6-037,権,ケン;ゴン,,権,けんり,ケン,投票所で権利（けんり）行使の方法を学（まな）んだ。  
g6-038,憲,ケン,,憲,きほんのほうりつ,ケン,国会本会議で憲法（けんぽう）改正案を議論した。  
